rgb,r,g,b,Label
"1,59,144",1,59,144,brightBlue
"0,56,134",0,56,134,brightBlue
"0,51,131",0,51,131,brightBlue
"4,41,95",4,41,95,brightBlue
"0,51,130",0,51,130,brightBlue
"0,32,90",0,32,90,brightBlue
"0,56,137",0,56,137,brightBlue
"1,57,135",1,57,135,brightBlue
"0,21,77",0,21,77,brightBlue
"1,32,95",1,32,95,brightBlue
"3,54,144",3,54,144,brightBlue
"0,23,72",0,23,72,brightBlue
"6,42,99",6,42,99,brightBlue
"0,63,151",0,63,151,brightBlue
"0,76,170",0,76,170,brightBlue
